City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,pavilosta,56.8879,21.1859,2.95,92,94,4.39,LV,1713323524
308,fale old settlement,-9.3852,-171.2468,29.04,73,52,2.52,TK,1713323524
309,queenstown,-31.8976,26.8753,12.32,71,0,1.3,ZA,1713323524
310,fort wellington,6.4,-57.6,27.63,80,70,5.43,GY,1713323282
311,fall river,41.7015,-71.1551,13.33,67,0,0.0,US,1713323525
312,zilair,52.2332,57.4392,8.14,94,100,2.97,RU,1713323282
313,al aaroui,35.0118,-3.0045,24.14,44,0,0.69,MA,1713323525
314,villa gesell,-37.2639,-56.973,14.47,86,100,8.97,AR,1713323525
315,wanning,18.8003,110.3967,30.45,64,4,7.19,CN,1713323283
316,zhangye,38.9342,100.4517,20.89,13,61,4.87,CN,1713323283
317,le portel,50.7056,1.5757,6.83,78,100,6.17,FR,1713323283
318,coquimbo,-29.9533,-71.3436,17.13,70,42,2.94,CL,1713323526
319,talakan,50.3167,130.3667,13.45,44,0,2.73,RU,1713323526
320,conceicao do coite,-11.5639,-39.2828,21.84,95,100,2.4,BR,1713323284
321,cockburn town,21.4612,-71.1419,25.38,79,2,7.91,TC,1713323526
322,onega,63.9061,38.1404,-7.55,85,100,3.92,RU,1713323284
323,tamanrasset,22.785,5.5228,17.95,17,0,3.6,DZ,1713323526
324,bowen,-20.0167,148.2333,27.83,66,89,6.87,AU,1713323284
325,dongola,19.1667,30.4833,24.15,16,2,3.32,SD,1713323527
326,tchintabaraden,15.8969,5.7985,24.89,13,2,4.21,NE,1713323527
327,dalbandin,28.8947,64.4101,16.0,87,100,2.3,PK,1713323527
328,peniche,39.3558,-9.3811,13.95,92,100,6.79,PT,1713323527
329,polyarnyy,69.1989,33.4478,-7.09,82,100,3.09,RU,1713323285
330,sidi khaled,34.387,4.9879,20.58,35,0,4.36,DZ,1713323528
331,al mijlad,11.0333,27.7333,25.37,12,94,5.04,SD,1713323528
332,puerto ayora,-0.7393,-90.3518,24.19,98,90,1.34,EC,1713323286
333,calingasta,-31.3308,-69.4078,16.17,28,0,1.72,AR,1713323528
334,stiens,53.2623,5.7577,7.21,84,75,4.12,NL,1713323286
335,moose jaw,50.4001,-105.5344,3.49,89,99,8.56,CA,1713323528
336,keflavik,64.0049,-22.5624,2.24,87,100,10.8,IS,1713323529
